Categoría: Todas las categorías

Mes,Gestión de inventarios: (México),Control de producción: (México),Industria 4.0: (México),Sistemas de manufactura: (México),Trazabilidad en manufactura: (México)
2015-04,0,6,0,6,0
2015-05,0,5,0,9,0
2015-06,0,7,0,8,0
2015-07,0,4,0,5,0
2015-08,0,5,0,17,0
2015-09,0,8,0,21,0
2015-10,0,8,0,12,0
2015-11,0,7,0,10,0
2015-12,0,5,0,7,0
2016-01,0,4,0,11,0
2016-02,1,7,0,15,0
2016-03,0,6,0,8,0
2016-04,0,8,0,7,0
2016-05,2,8,0,9,0
2016-06,1,6,0,6,0
2016-07,0,2,0,5,0
2016-08,0,4,2,18,0
2016-09,0,8,3,22,0
2016-10,0,9,5,10,0
2016-11,0,8,5,12,0
2016-12,0,5,1,7,0
2017-01,0,5,4,10,0
2017-02,0,8,4,13,0
2017-03,0,9,4,9,0
2017-04,1,4,3,4,0
2017-05,2,6,5,9,0
2017-06,2,7,7,7,0
2017-07,0,3,5,5,0
2017-08,0,6,9,16,0
2017-09,0,8,12,19,0
2017-10,1,7,12,13,0
2017-11,1,8,13,11,0
2017-12,0,5,6,7,0
2018-01,0,5,9,9,0
2018-02,0,9,16,16,0
2018-03,0,7,14,9,0
2018-04,0,7,16,7,0
2018-05,2,9,18,9,0
2018-06,1,5,14,6,0
2018-07,0,5,11,4,0
2018-08,0,6,26,14,0
2018-09,2,9,37,17,0
2018-10,1,8,25,11,0
2018-11,1,8,31,10,0
2018-12,0,4,13,5,0
2019-01,0,6,19,8,0
2019-02,1,8,26,12,0
2019-03,0,10,22,9,0
2019-04,2,6,18,5,0
2019-05,2,8,24,9,0
2019-06,2,6,19,7,0
2019-07,0,4,15,5,0
2019-08,0,6,26,14,0
2019-09,1,9,37,18,0
2019-10,1,10,35,10,0
2019-11,2,9,33,8,0
2019-12,0,6,15,5,0
2020-01,0,6,24,9,0
2020-02,1,10,28,14,0
2020-03,1,12,18,10,0
2020-04,2,13,17,7,0
2020-05,3,19,18,11,0
2020-06,2,15,15,7,0
2020-07,1,10,15,6,0
2020-08,1,10,16,6,0
2020-09,2,26,31,18,0
2020-10,2,23,26,15,0
2020-11,2,20,25,9,0
2020-12,2,14,13,5,0
2021-01,2,13,13,9,0
2021-02,2,16,19,10,0
2021-03,3,23,20,10,0
2021-04,3,18,16,8,0
2021-05,2,23,25,8,0
2021-06,3,21,21,8,0
2021-07,2,11,10,5,0
2021-08,1,12,39,9,0
2021-09,2,25,28,16,0
2021-10,3,24,25,10,0
2021-11,3,26,32,10,0
2021-12,2,17,15,5,0
2022-01,1,16,19,10,0
2022-02,4,27,32,19,0
2022-03,4,36,30,16,0
2022-04,4,23,30,10,0
2022-05,4,27,44,10,0
2022-06,4,23,21,8,0
2022-07,3,12,14,6,0
2022-08,2,14,41,11,0
2022-09,4,24,46,21,0
2022-10,3,23,33,12,0
2022-11,4,24,37,12,0
2022-12,2,16,27,7,0
2023-01,1,13,17,9,0
2023-02,3,22,31,14,0
2023-03,4,27,28,10,0
2023-04,4,17,20,7,0
2023-05,4,23,34,8,0
2023-06,4,21,16,5,0
2023-07,2,11,12,8,0
2023-08,3,17,37,11,0
2023-09,4,21,32,17,0
2023-10,3,23,23,8,0
2023-11,4,25,31,9,0
2023-12,2,11,11,5,0
2024-01,2,13,12,7,0
2024-02,4,20,23,12,0
2024-03,4,20,17,8,0
2024-04,6,18,19,7,0
2024-05,4,18,26,7,0
2024-06,5,18,12,5,0
2024-07,4,13,11,5,0
2024-08,4,14,13,9,0
2024-09,5,21,32,12,0
2024-10,5,22,17,7,0
2024-11,5,20,20,7,0
2024-12,6,19,18,7,0
